strain	virus	segment	host	accession	date	location	country	database	authors	url	title	journal	paper_url
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0701_MH053561_2016-02-23	Mammarenavirus lassaense	S	Homo sapiens	MH053561	2016-02-23	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053561	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0104_MH053562_2016-01-05	Mammarenavirus lassaense	S	Homo sapiens	MH053562	2016-01-05	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053562	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0146_MH053564_2016-01-15	Mammarenavirus lassaense	S	Homo sapiens	MH053564	2016-01-15	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053564	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0133_MH053567_2016-01-14	Mammarenavirus lassaense	S	Homo sapiens	MH053567	2016-01-14	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053567	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0565_MH053572_2016-02-11	Mammarenavirus lassaense	S	Homo sapiens	MH053572	2016-02-11	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053572	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2015_ISTH_0543_MH053573_2015-09-14	Mammarenavirus lassaense	S	Homo sapiens	MH053573	2015-09-14	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053573	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2015_ISTH_0821_MH053574_2015-12-27	Mammarenavirus lassaense	S	Homo sapiens	MH053574	2015-12-27	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053574	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1006_MH053575_2016-03-24	Mammarenavirus lassaense	S	Homo sapiens	MH053575	2016-03-24	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053575	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1123_MH053576_2016-04-21	Mammarenavirus lassaense	S	Homo sapiens	MH053576	2016-04-21	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053576	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1591_MH053577_2016-11-02	Mammarenavirus lassaense	S	Homo sapiens	MH053577	2016-11-02	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053577	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0141_MH053578_2016-01-14	Mammarenavirus lassaense	S	Homo sapiens	MH053578	2016-01-14	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053578	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1070_MH053580_2016-04-13	Mammarenavirus lassaense	S	Homo sapiens	MH053580	2016-04-13	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053580	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0199_MH053582_2016-01-18	Mammarenavirus lassaense	S	Homo sapiens	MH053582	2016-01-18	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053582	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0779_MH053584_2016-02-29	Mammarenavirus lassaense	S	Homo sapiens	MH053584	2016-02-29	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053584	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2015_ISTH_0574_MH053586_2015-09-16	Mammarenavirus lassaense	S	Homo sapiens	MH053586	2015-09-16	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053586	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0919_MH053588_2016-03-16	Mammarenavirus lassaense	S	Homo sapiens	MH053588	2016-03-16	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053588	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1609_MH053589_2016-11-01	Mammarenavirus lassaense	S	Homo sapiens	MH053589	2016-11-01	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053589	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Guinea_Faranah_KU978807_reverse_complement_2017-03-25	Mammarenavirus lassaense	S	Homo sapiens	KU978807	2017-03-25	Guinea	Guinea	BioProject: PRJNA257008	Rossi et al	https://www.ncbi.nlm.nih.gov/nuccore/KU978807	Direct Submission	Submitted (24-MAR-2016) Microbiology and Immunology, University of	MISSING
GUINEA_Z-185a_KU978810_reverse_complement_1981-01-20	Mammarenavirus lassaense	S	Homo sapiens	KU978810	1981-01-20	Guinea	Guinea	BioProject: PRJNA257008	Rossi et al	https://www.ncbi.nlm.nih.gov/nuccore/KU978810	Direct Submission	Submitted (24-MAR-2016) Microbiology and Immunology, University of	MISSING
NIGERIA_IKEJI_KU978811_reverse_complement_1989-01-01	Mammarenavirus lassaense	S	Homo sapiens	KU978811	1989-01-01	Nigeria	Nigeria	BioProject: PRJNA257008	Rossi et al	https://www.ncbi.nlm.nih.gov/nuccore/KU978811	Direct Submission	Submitted (24-MAR-2016) Microbiology and Immunology, University of	MISSING
IRF0194_KY425635_reverse_complement_2017-01-15	Mammarenavirus lassaense	S	Homo sapiens	KY425635	2017-01-15	Guinea: Macenta	Guinea	BioProject: PRJNA311755	Honko et al	https://www.ncbi.nlm.nih.gov/nuccore/KY425635	Direct Submission	Submitted (05-JAN-2017) Integrated Research Facility - Frederick,	MISSING
IRF0193_KY425638_reverse_complement_1976-03-XX	Mammarenavirus lassaense	S	Homo sapiens	KY425638	1976-03-XX	Sierra Leone: Sebgwema	Sierra Leone	BioProject: PRJNA311755	Sword et al	https://www.ncbi.nlm.nih.gov/nuccore/KY425638	Direct Submission	Submitted (05-JAN-2017) Integrated Research Facility - Frederick,	MISSING
IRF0201_KY425641_reverse_complement_1976-03-XX	Mammarenavirus lassaense	S	Homo sapiens	KY425641	1976-03-XX	Sierra Leone: Sebgwema	Sierra Leone	BioProject: PRJNA311755	Honko et al	https://www.ncbi.nlm.nih.gov/nuccore/KY425641	Direct Submission	Submitted (05-JAN-2017) Integrated Research Facility - Frederick,	MISSING
IRF0185_KY425642_reverse_complement_2017-01-15	Mammarenavirus lassaense	S	Homo sapiens	KY425642	2017-01-15	Guinea: Macenta	Guinea	BioProject: PRJNA311755	Honko et al	https://www.ncbi.nlm.nih.gov/nuccore/KY425642	Direct Submission	Submitted (05-JAN-2017) Integrated Research Facility - Frederick,	MISSING
IRF0205_KY425643_reverse_complement_1976-03-XX	Mammarenavirus lassaense	S	Homo sapiens	KY425643	1976-03-XX	Sierra Leone: Sebgwema	Sierra Leone	BioProject: PRJNA311755	Gerhardt et al	https://www.ncbi.nlm.nih.gov/nuccore/KY425643	Direct Submission	Submitted (05-JAN-2017) Integrated Research Facility - Frederick,	MISSING
IRF0172_KY425650_reverse_complement_1976-03-XX	Mammarenavirus lassaense	S	Homo sapiens	KY425650	1976-03-XX	Sierra Leone: Sebgwema	Sierra Leone	BioProject: PRJNA311755	Honko et al	https://www.ncbi.nlm.nih.gov/nuccore/KY425650	Direct Submission	Submitted (05-JAN-2017) Integrated Research Facility - Frederick,	MISSING
Togo_2016_7082_KU961971_2016-02-26	Mammarenavirus lassaense	S	Homo sapiens	KU961971	2016-02-26	Togo	Togo	MISSING	Rieger et al	https://www.ncbi.nlm.nih.gov/nuccore/KU961971	Direct Submission	Submitted (23-MAR-2016) WHO Collaborating Centre for Arboviruses	MISSING
G502-SLE-2009_KM821773_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821773	2009-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821773	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G503-SLE-2009_KM821775_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821775	2009-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821775	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G610-SLE-2009_KM821777_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821777	2009-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821777	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G676-SLE-2009_KM821781_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821781	2009-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821781	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G692-SLE-2009_KM821783_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821783	2009-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821783	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G693-SLE-2009_KM821785_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821785	2009-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821785	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G733-SLE-2010_KM821787_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821787	2010-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821787	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G771-SLE-2010_KM821789_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821789	2010-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821789	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G808-SLE-2010_KM821792_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821792	2010-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821792	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G1190-SLE-2010_KM821796_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821796	2010-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821796	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G1200-LIB-2010_KM821798_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821798	2010-XX-XX	Liberia	Liberia	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821798	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G1442-SLE-2011_KM821800_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821800	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821800	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G1529-SLE-2011_KM821802_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821802	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821802	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G1618-SLE-2011_KM821804_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821804	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821804	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G1646-SLE-2011_KM821806_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821806	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821806	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G1647-SLE-2011_KM821808_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821808	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821808	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G1727-SLE-2011_KM821810_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821810	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821810	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G1774-SLE-2011_KM821812_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821812	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821812	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G1897-SLE-2011_KM821815_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821815	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821815	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G1932-SLE-2011_KM821816_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821816	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821816	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G1959-SLE-2011_KM821818_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821818	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821818	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G1960-SLE-2011_KM821820_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821820	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821820	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2141-SLE-2011_KM821822_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821822	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821822	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2147-SLE-2011_KM821824_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821824	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821824	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2165-SLE-2011_KM821826_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821826	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821826	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2184-SLE-2011_KM821828_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821828	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821828	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2197-SLE-2011_KM821830_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821830	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821830	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2222-SLE-2011_KM821832_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821832	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821832	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2259-SLE-2012_KM821835_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821835	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821835	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2263-SLE-2012_KM821837_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821837	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821837	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2280-SLE-2012_KM821839_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821839	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821839	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2295-SLE-2012_KM821841_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821841	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821841	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2318-SLE-2012_KM821845_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821845	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821845	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2363-SLE-2012_KM821847_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821847	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821847	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2384-SLE-2012_KM821848_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821848	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821848	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2392-SLE-2012_KM821850_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821850	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821850	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2405-SLE-2012_KM821852_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821852	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821852	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2427-SLE-2012_KM821854_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821854	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821854	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2431-SLE-2012_KM821856_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821856	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821856	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2511-SLE-2012_KM821857_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821857	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821857	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2554-SLE-2012_KM821859_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821859	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821859	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2557-SLE-2012_KM821861_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821861	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821861	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2565-SLE-2012_KM821863_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821863	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821863	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2587-SLE-2012_KM821865_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821865	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821865	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2612-SLE-2012_KM821867_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821867	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821867	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G2615-SLE-2012_KM821869_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821869	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821869	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
